count,order,family,genus,level,genus_species,ID,in_refdb
7,Pleuronectiformes,Cynoglossidae,Symphurus,SPECIES,Symphurus plagiusa,2409475,MATCH
7,Tetraodontiformes,Tetraodontidae,Sphoeroides,SPECIES,Sphoeroides spengleri,2407829,MATCH
6,Cypriniformes,Cyprinidae,Chrosomus,SPECIES,Chrosomus eos,2365385,MATCH
6,Carcharhiniformes,Scyliorhinidae,Apristurus,SPECIES,Apristurus profundorum,2418478,NO MATCH
6,Squaliformes,Somniosidae,Centroscymnus,SPECIES,Centroscymnus coelolepis,2421147,NO MATCH
6,Mugiliformes,Mugilidae,Mugil,SPECIES,Mugil cephalus,8189568,MATCH
6,Perciformes,Carangidae,Decapterus,SPECIES,Decapterus punctatus,2391041,MATCH
6,Perciformes,Carangidae,Selene,SPECIES,Vomer setapinnis,2390735,NO MATCH
6,Perciformes,Trichiuridae,Benthodesmus,SPECIES,Benthodesmus simonyi,2389330,NO MATCH
6,Scorpaeniformes,Agonidae,Leptagonus,SPECIES,Leptagonus decagonus,2337186,MATCH
6,Zeiformes,Grammicolepididae,Xenolepidichthys,SPECIES,Xenolepidichthys dalgleishi,2415264,MATCH
5,Anguilliformes,Synaphobranchidae,Ilyophis,SPECIES,Ilyophis brunneus,2402821,MATCH
5,Atheriniformes,Atherinopsidae,Membras,SPECIES,Membras martinica,2412232,MATCH
5,Cypriniformes,Cyprinidae,Couesius,SPECIES,Couesius plumbeus,2360898,MATCH
5,Myliobatiformes,Gymnuridae,Gymnura,SPECIES,Gymnura altavela,5216232,MATCH
5,Rajiformes,Rajidae,Leucoraja,SPECIES,Raja garmani,5215978,NO MATCH
5,Squaliformes,Etmopteridae,Etmopterus,SPECIES,Etmopterus princeps,2421071,MATCH
5,Esociformes,Umbridae,Umbra,SPECIES,Umbra limi,5203110,MATCH
5,Gadiformes,Lotidae,Gaidropsarus,SPECIES,Gaidropsarus ensis,2415583,MATCH
5,Gadiformes,Macrouridae,Macrourus,SPECIES,Macrourus berglax,5215147,MATCH
5,Gadiformes,Moridae,Halargyreus,SPECIES,Halargyreus johnsonii,2417127,MATCH
5,Gadiformes,Moridae,Laemonema,SPECIES,Laemonema barbatulum,5215399,MATCH
5,Lepisosteiformes,Lepisosteidae,Lepisosteus,SPECIES,Lepisosteus osseus,2346701,MATCH
5,Lophiiformes,Antennariidae,Histrio,SPECIES,Histrio histrio,5214666,MATCH
5,Osmeriformes,Platytroctidae,Holtbyrnia,SPECIES,Holtbyrnia anomala,2411120,MATCH
5,Perciformes,Carangidae,Alectis,SPECIES,Alectis ciliaris,2390537,MATCH
5,Perciformes,Gobiidae,Ctenogobius,SPECIES,Ctenogobius boleosoma,2375376,MATCH
5,Perciformes,Malacanthidae,Lopholatilus,SPECIES,Lopholatilus chamaeleonticeps,2389833,MATCH
