11,Carcharhiniformes,Sphyrnidae,Sphyrna,SPECIES,Sphyrna lewini,2418789
1,Carcharhiniformes,Sphyrnidae,Sphyrna,SPECIES,Sphyrna mokarran,2418792
1,Carcharhiniformes,Sphyrnidae,Sphyrna,SPECIES,Sphyrna zygaena,2418794
512,Carcharhiniformes,Triakidae,Mustelus,SPECIES,Mustelus canis,2418312
12,Lamniformes,Alopiidae,Alopias,SPECIES,Alopias vulpinus,2420797
40,Lamniformes,Cetorhinidae,Cetorhinus,SPECIES,Cetorhinus maximus,2420726
18,Lamniformes,Lamnidae,Carcharodon,SPECIES,Carcharodon carcharias,2420694
9,Lamniformes,Lamnidae,Isurus,SPECIES,Isurus oxyrinchus,5216248
14,Lamniformes,Lamnidae,Lamna,SPECIES,Lamna nasus,5216239
26,Lamniformes,Odontaspididae,Carcharias,SPECIES,Carcharias taurus,2420766
14,Myliobatiformes,Dasyatidae,Bathytoshia,SPECIES,Bathytoshia centroura,9363791
7,Myliobatiformes,Dasyatidae,Hypanus,GENUS,Hypanus say,4853261
1,Myliobatiformes,Dasyatidae,Hypanus,SPECIES,Hypanus americanus,9335213
2,Myliobatiformes,Dasyatidae,Hypanus,SPECIES,Hypanus sabinus,9245001
5,Myliobatiformes,Gymnuridae,Gymnura,SPECIES,Gymnura altavela,5216232
1,Myliobatiformes,Myliobatidae,Mobula,GENUS,Mobula,2419178
7,Myliobatiformes,Myliobatidae,Mobula,SPECIES,Mobula birostris,9548142
13,Myliobatiformes,Myliobatidae,Mobula,SPECIES,Mobula tarapacana,2419179
27,Myliobatiformes,Myliobatidae,Myliobatis,SPECIES,Myliobatis freminvillei,2419292
47,Myliobatiformes,Myliobatidae,Rhinoptera,SPECIES,Rhinoptera bonasus,5215777
15,Orectolobiformes,Rhincodontidae,Rhincodon,SPECIES,Rhincodon typus,2417522
2,Rajiformes,Arhynchobatidae,Bathyraja,GENUS,Bathyraja,7826067
3,Rajiformes,,,ORDER,Rajiformes,884
6622,Rajiformes,Rajidae,Amblyraja,SPECIES,Amblyraja radiata,2420446
2178,Rajiformes,Rajidae,Dipturus,SPECIES,Dipturus laevis,2420230
101,Rajiformes,Rajidae,,FAMILY,Rajidae,5877
5531,Rajiformes,Rajidae,Leucoraja,GENUS,Leucoraja,2419848
27050,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja erinacea,2419879
352,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja erinaceus,2419879
50,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja garmani,2419858
5,Rajiformes,Rajidae,Leucoraja,SPECIES,Raja garmani,5215978
36334,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja ocellata,2419886
4321,Rajiformes,Rajidae,Malacoraja,SPECIES,Malacoraja senta,2419827
111,Rajiformes,Rajidae,Raja,GENUS,Raja,2342057
13,Rajiformes,Rajidae,Raja,SPECIES,Raja eglanteria,5216061
217,Rajiformes,Rajidae,Raja,SPECIES,Rostroraja eglanteria,11005272
